Cycle,Phase,RB,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Min,Mean,Median,Max,StdDev,StdError
c1,p1,rb10,13,14.0,13,13,13.0,,,13.0,13.2,13.0,14.0,0.4472135954999579,0.1690308509457033
c1,p2,rb10,16,16.0,15,15,15.0,,,15.0,15.4,15.0,16.0,0.5477225575051662,0.20701966780270628
c1,p3,rb10,26,14.0,15,16,15.0,,,14.0,17.2,15.0,26.0,4.969909455915671,1.8784492084087416
c1,p4,rb10,14,13.0,13,13,12.0,,,12.0,13.0,13.0,14.0,0.7071067811865476,0.2672612419124244
c1,p5,rb10,13,13.0,14,14,14.0,,,13.0,13.6,14.0,14.0,0.5477225575051662,0.20701966780270628
c1,p6,rb10,13,13.0,14,14,12.0,,,12.0,13.2,13.0,14.0,0.8366600265340756,0.31622776601683794
c1,p7,rb10,13,14.0,14,13,13.0,14.0,,13.0,13.5,13.5,14.0,0.5477225575051661,0.20701966780270625
c1,p8,rb10,16,16.0,15,15,14.0,,,14.0,15.2,15.0,16.0,0.8366600265340756,0.31622776601683794
c1,p9,rb10,10,11.0,10,10,11.0,,,10.0,10.4,10.0,11.0,0.5477225575051661,0.20701966780270625
c2,p1,rb10,12,13.0,15,19,20.0,,,12.0,15.8,15.0,20.0,3.5637059362410923,1.3469542361512192
c2,p2,rb10,18,16.0,17,25,23.0,,,16.0,19.8,18.0,25.0,3.96232255123179,1.4976171549689001
c2,p3,rb10,15,14.0,15,18,22.0,,,14.0,16.8,15.0,22.0,3.271085446759225,1.236354087052503
c2,p4,rb10,12,14.0,17,16,18.0,,,12.0,15.4,16.0,18.0,2.4083189157584592,0.9102589898327995
c2,p5,rb10,13,12.0,17,18,21.0,,,12.0,16.2,17.0,21.0,3.7013511046643495,1.3989792196965818
c2,p6,rb10,13,14.0,13,20,20.0,,,13.0,16.0,14.0,20.0,3.6742346141747673,1.3887301496588271
c2,p7,rb10,12,13.0,14,16,19.0,,,12.0,14.8,14.0,19.0,2.7748873851023212,1.0488088481701514
c2,p8,rb10,17,18.0,17,19,21.0,,,17.0,18.4,18.0,21.0,1.6733200530681511,0.6324555320336759
c2,p9,rb10,12,13.0,12,14,19.0,,,12.0,14.0,13.0,19.0,2.9154759474226504,1.1019463300386794
c3,p1,rb10,17,22.0,22,23,20.0,,,17.0,20.8,22.0,23.0,2.3874672772626644,0.9023778112773575
c3,p2,rb10,21,30.0,31,26,26.0,,,21.0,26.8,26.0,31.0,3.96232255123179,1.4976171549689001
c3,p3,rb10,17,27.0,24,23,24.0,,,17.0,23.0,24.0,27.0,3.6742346141747673,1.3887301496588271
c3,p4,rb10,15,24.0,21,23,22.0,22.0,,15.0,21.166666666666668,22.0,24.0,3.188521078284832,1.2051476890327395
c3,p5,rb10,20,23.0,23,21,21.0,,,20.0,21.6,21.0,23.0,1.3416407864998738,0.50709255283711
c3,p6,rb10,16,23.0,22,22,23.0,,,16.0,21.2,22.0,23.0,2.949576240750525,1.1148350294358096
c3,p7,rb10,16,21.0,21,23,20.0,,,16.0,20.2,21.0,23.0,2.588435821108957,0.9783367810436532
c3,p8,rb10,17,22.0,23,24,24.0,25.0,,17.0,22.5,23.5,25.0,2.8809720581775866,1.0889050857234002
c3,p9,rb10,18,20.0,19,21,20.0,22.0,,18.0,20.0,20.0,22.0,1.4142135623730951,0.5345224838248488
c4,p1,rb10,22,,22,22,,25.0,26.0,22.0,23.4,22.0,26.0,1.9493588689617927,0.7367883976130072
c4,p2,rb10,31,27.0,33,31,31.0,,,27.0,30.6,31.0,33.0,2.1908902300206647,0.8280786712108251
c4,p3,rb10,30,24.0,26,23,22.0,,,22.0,25.0,24.0,30.0,3.1622776601683795,1.1952286093343936
c4,p4,rb10,24,22.0,19,22,21.0,,,19.0,21.6,22.0,24.0,1.816590212458495,0.6866065623255951
c4,p5,rb10,27,23.0,19,21,23.0,22.0,,19.0,22.5,22.5,27.0,2.6645825188948455,1.0071175275436894
c4,p6,rb10,23,22.0,20,21,22.0,,,20.0,21.6,22.0,23.0,1.140175425099138,0.4309458036856673
