Cycle,Phase,RB,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Min,Mean,Median,Max,StdDev,StdError
c1,p1,rb10,0.10833333333333334,0.11666666666666667,0.10833333333333334,0.10833333333333334,0.10833333333333334,,,0.10833333333333334,0.11000000000000001,0.10833333333333334,0.11666666666666667,0.003726779962499649,0.0014085904245475273
c1,p2,rb10,0.13333333333333333,0.13333333333333333,0.125,0.125,0.125,,,0.125,0.12833333333333333,0.125,0.13333333333333333,0.004564354645876383,0.0017251638983558852
c1,p3,rb10,0.21666666666666667,0.11666666666666667,0.125,0.13333333333333333,0.125,,,0.11666666666666667,0.14333333333333334,0.125,0.21666666666666667,0.04141591213263059,0.01565374340340618
c1,p4,rb10,0.11666666666666667,0.10833333333333334,0.10833333333333334,0.10833333333333334,0.1,,,0.1,0.10833333333333335,0.10833333333333334,0.11666666666666667,0.005892556509887895,0.0022271770159368693
c1,p5,rb10,0.10833333333333334,0.10833333333333334,0.11666666666666667,0.11666666666666667,0.11666666666666667,,,0.10833333333333334,0.11333333333333336,0.11666666666666667,0.11666666666666667,0.004564354645876383,0.0017251638983558852
c1,p6,rb10,0.10833333333333334,0.10833333333333334,0.11666666666666667,0.11666666666666667,0.1,,,0.1,0.11000000000000001,0.10833333333333334,0.11666666666666667,0.006972166887783961,0.0026352313834736487
c1,p7,rb10,0.10833333333333334,0.11666666666666667,0.11666666666666667,0.10833333333333334,0.10833333333333334,0.11666666666666667,,0.10833333333333334,0.1125,0.1125,0.11666666666666667,0.004564354645876383,0.0017251638983558852
c1,p8,rb10,0.13333333333333333,0.13333333333333333,0.125,0.125,0.11666666666666667,,,0.11666666666666667,0.12666666666666665,0.125,0.13333333333333333,0.006972166887783961,0.0026352313834736487
c1,p9,rb10,0.08333333333333333,0.09166666666666666,0.08333333333333333,0.08333333333333333,0.09166666666666666,,,0.08333333333333333,0.08666666666666666,0.08333333333333333,0.09166666666666666,0.004564354645876383,0.0017251638983558852
c2,p1,rb10,0.1,0.10833333333333334,0.125,0.15833333333333333,0.16666666666666666,,,0.1,0.13166666666666665,0.125,0.16666666666666666,0.02969754946867576,0.01122461863459349
c2,p2,rb10,0.15,0.13333333333333333,0.14166666666666666,0.20833333333333334,0.19166666666666665,,,0.13333333333333333,0.16499999999999998,0.15,0.20833333333333334,0.03301935459359825,0.012480142958074167
c2,p3,rb10,0.125,0.11666666666666667,0.125,0.15,0.18333333333333332,,,0.11666666666666667,0.14,0.125,0.18333333333333332,0.027259045389660203,0.010302950725437523
c2,p4,rb10,0.1,0.11666666666666667,0.14166666666666666,0.13333333333333333,0.15,,,0.1,0.12833333333333335,0.13333333333333333,0.15,0.020069324297987155,0.007585491581939994
c2,p5,rb10,0.10833333333333334,0.1,0.14166666666666666,0.15,0.175,,,0.1,0.135,0.14166666666666666,0.175,0.03084459253886957,0.01165816016413818
c2,p6,rb10,0.10833333333333334,0.11666666666666667,0.10833333333333334,0.16666666666666666,0.16666666666666666,,,0.10833333333333334,0.13333333333333333,0.11666666666666667,0.16666666666666666,0.030618621784789718,0.01157275124715689
c2,p7,rb10,0.1,0.10833333333333334,0.11666666666666667,0.13333333333333333,0.15833333333333333,,,0.1,0.12333333333333334,0.11666666666666667,0.15833333333333333,0.023124061542519343,0.00874007373475126
c2,p8,rb10,0.14166666666666666,0.15,0.14166666666666666,0.15833333333333333,0.175,,,0.14166666666666666,0.15333333333333332,0.15,0.175,0.013944333775567922,0.005270462766947297
c2,p9,rb10,0.1,0.10833333333333334,0.1,0.11666666666666667,0.15833333333333333,,,0.1,0.11666666666666667,0.10833333333333334,0.15833333333333333,0.024295632895188747,0.00918288608365566
c3,p1,rb10,0.14166666666666666,0.18333333333333332,0.18333333333333332,0.19166666666666665,0.16666666666666666,,,0.14166666666666666,0.1733333333333333,0.18333333333333332,0.19166666666666665,0.019895560643855534,0.007519815093977978
c3,p2,rb10,0.175,0.25,0.2583333333333333,0.21666666666666667,0.21666666666666667,,,0.175,0.22333333333333333,0.21666666666666667,0.2583333333333333,0.03301935459359824,0.012480142958074165
c3,p3,rb10,0.14166666666666666,0.225,0.2,0.19166666666666665,0.2,,,0.14166666666666666,0.19166666666666665,0.2,0.225,0.03061862178478973,0.011572751247156893
c3,p4,rb10,0.125,0.2,0.175,0.19166666666666665,0.18333333333333332,0.18333333333333332,,0.125,0.1763888888888889,0.18333333333333332,0.2,0.02657100898570693,0.01004289740860616
c3,p5,rb10,0.16666666666666666,0.19166666666666665,0.19166666666666665,0.175,0.175,,,0.16666666666666666,0.18,0.175,0.19166666666666665,0.011180339887498947,0.004225771273642582
c3,p6,rb10,0.13333333333333333,0.19166666666666665,0.18333333333333332,0.18333333333333332,0.19166666666666665,,,0.13333333333333333,0.17666666666666667,0.18333333333333332,0.19166666666666665,0.02457980200625437,0.009290291911965079
c3,p7,rb10,0.13333333333333333,0.175,0.175,0.19166666666666665,0.16666666666666666,,,0.13333333333333333,0.16833333333333333,0.175,0.19166666666666665,0.0215702985092413,0.008152806508697107
c3,p8,rb10,0.14166666666666666,0.18333333333333332,0.19166666666666665,0.2,0.2,0.20833333333333334,,0.14166666666666666,0.18749999999999997,0.19583333333333333,0.20833333333333334,0.024008100484813225,0.009074209047695002
c3,p9,rb10,0.15,0.16666666666666666,0.15833333333333333,0.175,0.16666666666666666,0.18333333333333332,,0.15,0.16666666666666666,0.16666666666666666,0.18333333333333332,0.01178511301977579,0.004454354031873739
c4,p1,rb10,0.18333333333333332,,0.18333333333333332,0.18333333333333332,,0.20833333333333334,0.21666666666666667,0.18333333333333332,0.195,0.18333333333333332,0.21666666666666667,0.016244657241348284,0.006139903313441731
c4,p2,rb10,0.2583333333333333,0.225,0.275,0.2583333333333333,0.2583333333333333,,,0.225,0.255,0.2583333333333333,0.275,0.018257418583505537,0.0069006555934235415
c4,p3,rb10,0.25,0.2,0.21666666666666667,0.19166666666666665,0.18333333333333332,,,0.18333333333333332,0.20833333333333334,0.2,0.25,0.026352313834736497,0.009960238411119947
c4,p4,rb10,0.2,0.18333333333333332,0.15833333333333333,0.18333333333333332,0.175,,,0.15833333333333333,0.18,0.18333333333333332,0.2,0.015138251770487464,0.005721721352713295
c4,p5,rb10,0.225,0.19166666666666665,0.15833333333333333,0.175,0.19166666666666665,0.18333333333333332,,0.15833333333333333,0.1875,0.1875,0.225,0.022204854324123717,0.00839264606286408
c4,p6,rb10,0.19166666666666665,0.18333333333333332,0.16666666666666666,0.175,0.18333333333333332,,,0.16666666666666666,0.18,0.18333333333333332,0.19166666666666665,0.009501461875826147,0.0035912150307138933
c4,p7,rb10,0.18333333333333332,0.18333333333333332,0.175,0.18333333333333332,0.175,0.2,,0.175,0.18333333333333332,0.18333333333333332,0.2,0.009128709291752777,0.0034503277967117742
c4,p8,rb10,0.225,0.2,0.19166666666666665,0.2,0.18333333333333332,,,0.18333333333333332,0.2,0.2,0.225,0.015590239111558097,0.005892556509887899
c4,p9,rb10,0.16666666666666666,0.15833333333333333,0.16666666666666666,0.15833333333333333,0.16666666666666666,,,0.15833333333333333,0.1633333333333333,0.16666666666666666,0.16666666666666666,0.004564354645876383,0.0017251638983558852
c5,p1,rb10,0.19166666666666665,0.175,0.15833333333333333,0.175,0.225,,,0.15833333333333333,0.185,0.175,0.225,0.02527625148017184,0.009553525070351848
c5,p2,rb10,0.225,0.21666666666666667,0.225,0.24166666666666667,0.26666666666666666,,,0.21666666666666667,0.23500000000000001,0.225,0.26666666666666666,0.01989556064385553,0.007519815093977977
c5,p3,rb10,0.18333333333333332,0.175,0.175,0.18333333333333332,0.225,,,0.175,0.1883333333333333,0.18333333333333332,0.225,0.020916500663351895,0.007905694150420951
c5,p4,rb10,0.16666666666666666,0.16666666666666666,0.18333333333333332,0.19166666666666665,0.20833333333333334,,,0.16666666666666666,0.18333333333333332,0.18333333333333332,0.20833333333333334,0.017677669529663695,0.0066815310478106115
c5,p5,rb10,0.19166666666666665,0.16666666666666666,0.16666666666666666,0.2,0.23333333333333334,0.20833333333333334,,0.16666666666666666,0.19444444444444442,0.19583333333333333,0.23333333333333334,0.02563995724269851,0.00969099292721566
c5,p6,rb10,0.16666666666666666,0.18333333333333332,0.21666666666666667,0.175,0.19166666666666665,,,0.16666666666666666,0.18666666666666668,0.18333333333333332,0.21666666666666667,0.019184774055368906,0.007251163015638603
c5,p7,rb10,0.175,0.175,0.175,0.19166666666666665,0.225,,,0.175,0.1883333333333333,0.175,0.225,0.021730674684008834,0.008213423005076353
c5,p8,rb10,0.225,0.2,0.20833333333333334,0.225,0.225,,,0.2,0.2166666666666667,0.225,0.225,0.01178511301977579,0.004454354031873739
c5,p9,rb10,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.175,0.19166666666666665,,,0.16666666666666666,0.17333333333333334,0.16666666666666666,0.19166666666666665,0.010865337342004412,0.004106711502538175
c6,p1,rb10,0.175,0.21666666666666667,0.20833333333333334,0.21666666666666667,0.275,,,0.175,0.21833333333333335,0.21666666666666667,0.275,0.0360362471840661,0.013620421176155792
c6,p2,rb10,0.23333333333333334,0.275,0.25,0.3,0.31666666666666665,,,0.23333333333333334,0.275,0.275,0.31666666666666665,0.03435921354681383,0.01298656204123299
c6,p3,rb10,0.23333333333333334,0.20833333333333334,0.24166666666666667,0.225,0.35,,,0.20833333333333334,0.25166666666666665,0.23333333333333334,0.35,0.05633481260385189,0.02129255775788845
c6,p4,rb10,0.18333333333333332,0.19166666666666665,0.2,0.23333333333333334,0.24166666666666667,0.39166666666666666,,0.18333333333333332,0.24027777777777778,0.21666666666666667,0.39166666666666666,0.07771326689730558,0.029372853968665524
c6,p5,rb10,0.19166666666666665,0.2,0.225,0.24166666666666667,0.2583333333333333,,,0.19166666666666665,0.22333333333333333,0.225,0.2583333333333333,0.027888667551135844,0.010540925533894595
