Cycle,Phase,RB,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10,Rep11,Rep12,Rep13,Rep14,Rep15,Rep16,Rep17,Rep18,Rep19,Rep20,Rep21,Min,Mean,Median,Max,StdDev,StdError
c1,p1,rb01,15,13,14,16,15,14.0,15.0,15.0,15.0,15.0,13.0,15.0,14.0,16.0,12.0,12.0,10.0,15.0,15.0,11.0,,10.0,14.0,15.0,16.0,1.6543403837370223,0.3610066682712951
c1,p2,rb01,18,8,3,3,9,14.0,11.0,3.0,15.0,8.0,2.0,13.0,14.0,14.0,15.0,10.0,14.0,16.0,17.0,2.0,,2.0,10.45,12.0,18.0,5.394685493978993,1.1772168869828081
c1,p3,rb01,14,14,14,13,15,16.0,14.0,14.0,15.0,13.0,16.0,16.0,14.0,14.0,15.0,14.0,16.0,15.0,15.0,12.0,,12.0,14.45,14.0,16.0,1.0990426455975697,0.23983076740168516
c1,p4,rb01,14,16,15,15,16,17.0,12.0,16.0,9.0,16.0,15.0,17.0,17.0,16.0,15.0,16.0,17.0,12.0,8.0,11.0,,8.0,14.5,15.5,17.0,2.6852423197524415,0.5859679137887799
c1,p5,rb01,12,18,17,17,17,16.0,17.0,18.0,16.0,16.0,15.0,17.0,18.0,16.0,15.0,14.0,15.0,17.0,17.0,17.0,16.0,12.0,16.238095238095237,17.0,18.0,1.445847914020071,0.3155098813995704
c1,p6,rb01,15,16,16,15,13,13.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,13.0,17.0,15.0,17.0,15.0,14.0,,13.0,14.8,15.0,17.0,1.1516578439248717,0.2513123449750173
c1,p7,rb01,13,11,16,14,15,14.0,13.0,14.0,16.0,15.0,12.0,13.0,12.0,13.0,15.0,14.0,13.0,13.0,10.0,12.0,,10.0,13.4,13.0,16.0,1.5694450913417908,0.34248099667383997
c1,p8,rb01,15,13,15,15,15,15.0,13.0,14.0,13.0,15.0,14.0,15.0,18.0,13.0,14.0,14.0,15.0,10.0,15.0,13.0,13.0,10.0,14.142857142857142,14.0,18.0,1.5259657363687524,0.3329930235628017
c1,p9,rb01,12,15,11,14,14,13.0,11.0,13.0,14.0,10.0,16.0,13.0,15.0,8.0,14.0,13.0,14.0,15.0,15.0,13.0,,8.0,13.15,13.5,16.0,1.954078056944394,0.42641479094285306
c2,p1,rb01,16,15,17,13,15,11.0,,,,,,,,,,,,,,,,11.0,14.5,15.0,17.0,2.16794833886788,0.47308511264837305
c2,p2,rb01,16,16,16,17,18,,,,,,,,,,,,,,,,,16.0,16.6,16.0,18.0,0.8944271909999159,0.19518001458970663
c2,p3,rb01,18,17,14,15,16,,,,,,,,,,,,,,,,,14.0,16.0,16.0,18.0,1.5811388300841898,0.3450327796711771
c2,p4,rb01,15,15,16,10,12,,,,,,,,,,,,,,,,,10.0,13.6,15.0,16.0,2.5099800796022267,0.5477225575051662
c2,p5,rb01,13,17,17,16,16,,,,,,,,,,,,,,,,,13.0,15.8,16.0,17.0,1.6431676725154984,0.3585685828003181
c2,p6,rb01,16,16,14,14,16,,,,,,,,,,,,,,,,,14.0,15.2,16.0,16.0,1.0954451150103324,0.23904572186687878
c2,p7,rb01,15,15,14,16,14,,,,,,,,,,,,,,,,,14.0,14.8,15.0,16.0,0.8366600265340756,0.18257418583505539
c2,p8,rb01,17,16,17,16,18,,,,,,,,,,,,,,,,,16.0,16.8,17.0,18.0,0.8366600265340756,0.18257418583505539
c2,p9,rb01,16,7,15,13,14,,,,,,,,,,,,,,,,,7.0,13.0,14.0,16.0,3.5355339059327378,0.7715167498104596
c3,p1,rb01,18,16,15,16,16,,,,,,,,,,,,,,,,,15.0,16.2,16.0,18.0,1.0954451150103321,0.23904572186687872
c3,p2,rb01,17,18,15,17,18,,,,,,,,,,,,,,,,,15.0,17.0,17.0,18.0,1.224744871391589,0.2672612419124244
c3,p3,rb01,15,15,16,15,16,,,,,,,,,,,,,,,,,15.0,15.4,15.0,16.0,0.5477225575051662,0.11952286093343939
c3,p4,rb01,8,16,22,10,2,,,,,,,,,,,,,,,,,2.0,11.6,10.0,22.0,7.6681158050723255,1.6733200530681511
c3,p5,rb01,13,17,16,15,16,,,,,,,,,,,,,,,,,13.0,15.4,16.0,17.0,1.51657508881031,0.33094381626464864
c3,p6,rb01,15,14,14,14,14,,,,,,,,,,,,,,,,,14.0,14.2,14.0,15.0,0.4472135954999579,0.09759000729485331
c3,p7,rb01,16,15,15,15,15,,,,,,,,,,,,,,,,,15.0,15.2,15.0,16.0,0.4472135954999579,0.09759000729485331
