Cycle,Phase,RB,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10,Rep11,Rep12,Rep13,Rep14,Rep15,Rep16,Rep17,Rep18,Rep19,Rep20,Rep21,Min,Mean,Median,Max,StdDev,StdError
c1,p1,rb01,0.125,0.10833333333333334,0.11666666666666667,0.13333333333333333,0.125,0.11666666666666667,0.125,0.125,0.125,0.125,0.10833333333333334,0.125,0.11666666666666667,0.13333333333333333,0.1,0.1,0.08333333333333333,0.125,0.125,0.09166666666666666,,0.08333333333333333,0.11666666666666665,0.125,0.13333333333333333,0.013786169864475185,0.003008388902260792
c1,p2,rb01,0.15,0.06666666666666667,0.025,0.025,0.075,0.11666666666666667,0.09166666666666666,0.025,0.125,0.06666666666666667,0.016666666666666666,0.10833333333333334,0.11666666666666667,0.11666666666666667,0.125,0.08333333333333333,0.11666666666666667,0.13333333333333333,0.14166666666666666,0.016666666666666666,,0.016666666666666666,0.08708333333333332,0.1,0.15,0.044955712449824936,0.009810140724856734
c1,p3,rb01,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.10833333333333334,0.125,0.13333333333333333,0.11666666666666667,0.11666666666666667,0.125,0.10833333333333334,0.13333333333333333,0.13333333333333333,0.11666666666666667,0.11666666666666667,0.125,0.11666666666666667,0.13333333333333333,0.125,0.125,0.1,,0.1,0.12041666666666669,0.11666666666666667,0.13333333333333333,0.009158688713313079,0.0019985897283473757
c1,p4,rb01,0.11666666666666667,0.13333333333333333,0.125,0.125,0.13333333333333333,0.14166666666666666,0.1,0.13333333333333333,0.075,0.13333333333333333,0.125,0.14166666666666666,0.14166666666666666,0.13333333333333333,0.125,0.13333333333333333,0.14166666666666666,0.1,0.06666666666666667,0.09166666666666666,,0.06666666666666667,0.12083333333333335,0.12916666666666665,0.14166666666666666,0.022377019331270346,0.004883065948239832
c1,p5,rb01,0.1,0.15,0.14166666666666666,0.14166666666666666,0.14166666666666666,0.13333333333333333,0.14166666666666666,0.15,0.13333333333333333,0.13333333333333333,0.125,0.14166666666666666,0.15,0.13333333333333333,0.125,0.11666666666666667,0.125,0.14166666666666666,0.14166666666666666,0.14166666666666666,0.13333333333333333,0.1,0.1353174603174603,0.14166666666666666,0.15,0.012048732616833922,0.002629249011663086
c1,p6,rb01,0.125,0.13333333333333333,0.13333333333333333,0.125,0.10833333333333334,0.10833333333333334,0.11666666666666667,0.125,0.125,0.11666666666666667,0.11666666666666667,0.125,0.125,0.125,0.10833333333333334,0.14166666666666666,0.125,0.14166666666666666,0.125,0.11666666666666667,,0.10833333333333334,0.12333333333333334,0.125,0.14166666666666666,0.009597148699373928,0.002094269541458477
c1,p7,rb01,0.10833333333333334,0.09166666666666666,0.13333333333333333,0.11666666666666667,0.125,0.11666666666666667,0.10833333333333334,0.11666666666666667,0.13333333333333333,0.125,0.1,0.10833333333333334,0.1,0.10833333333333334,0.125,0.11666666666666667,0.10833333333333334,0.10833333333333334,0.08333333333333333,0.1,,0.08333333333333333,0.11166666666666669,0.10833333333333334,0.13333333333333333,0.013078709094514923,0.002854008305615333
c1,p8,rb01,0.125,0.10833333333333334,0.125,0.125,0.125,0.125,0.10833333333333334,0.11666666666666667,0.10833333333333334,0.125,0.11666666666666667,0.125,0.15,0.10833333333333334,0.11666666666666667,0.11666666666666667,0.125,0.08333333333333333,0.125,0.10833333333333334,0.10833333333333334,0.08333333333333333,0.11785714285714285,0.11666666666666667,0.15,0.012716381136406269,0.002774941863023347
c1,p9,rb01,0.1,0.125,0.09166666666666666,0.11666666666666667,0.11666666666666667,0.10833333333333334,0.09166666666666666,0.10833333333333334,0.11666666666666667,0.08333333333333333,0.13333333333333333,0.10833333333333334,0.125,0.06666666666666667,0.11666666666666667,0.10833333333333334,0.11666666666666667,0.125,0.125,0.10833333333333334,,0.06666666666666667,0.10958333333333332,0.1125,0.13333333333333333,0.016283983807869953,0.003553456591190443
c2,p1,rb01,0.13333333333333333,0.125,0.14166666666666666,0.10833333333333334,0.125,0.09166666666666666,,,,,,,,,,,,,,,,0.09166666666666666,0.12083333333333333,0.125,0.14166666666666666,0.018066236157232334,0.0039423759387364424
c2,p2,rb01,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.14166666666666666,0.15,,,,,,,,,,,,,,,,,0.13333333333333333,0.13833333333333336,0.13333333333333333,0.15,0.007453559924999297,0.0016265001215808883
c2,p3,rb01,0.15,0.14166666666666666,0.11666666666666667,0.125,0.13333333333333333,,,,,,,,,,,,,,,,,0.11666666666666667,0.13333333333333333,0.13333333333333333,0.15,0.013176156917368245,0.0028752731639264755
c2,p4,rb01,0.125,0.125,0.13333333333333333,0.08333333333333333,0.1,,,,,,,,,,,,,,,,,0.08333333333333333,0.11333333333333333,0.125,0.13333333333333333,0.020916500663351892,0.004564354645876385
c2,p5,rb01,0.10833333333333334,0.14166666666666666,0.14166666666666666,0.13333333333333333,0.13333333333333333,,,,,,,,,,,,,,,,,0.10833333333333334,0.13166666666666665,0.13333333333333333,0.14166666666666666,0.01369306393762915,0.0029880715233359836
c2,p6,rb01,0.13333333333333333,0.13333333333333333,0.11666666666666667,0.11666666666666667,0.13333333333333333,,,,,,,,,,,,,,,,,0.11666666666666667,0.12666666666666665,0.13333333333333333,0.13333333333333333,0.009128709291752767,0.001992047682223989
c2,p7,rb01,0.125,0.125,0.11666666666666667,0.13333333333333333,0.11666666666666667,,,,,,,,,,,,,,,,,0.11666666666666667,0.12333333333333334,0.125,0.13333333333333333,0.006972166887783961,0.001521451548625461
