Cycle,Phase,RB,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Min,Mean,Median,Max,StdDev,StdError
c1,p1,rb05,13,13,13,14,13,14.0,14.0,13.0,13.428571428571429,13.0,14.0,0.5345224838248488,0.20203050891044214
c1,p2,rb05,14,14,14,13,13,,,13.0,13.6,14.0,14.0,0.5477225575051662,0.20701966780270628
c1,p3,rb05,14,14,14,14,13,,,13.0,13.8,14.0,14.0,0.4472135954999579,0.1690308509457033
c1,p4,rb05,13,14,15,16,14,,,13.0,14.4,14.0,16.0,1.1401754250991378,0.43094580368566726
c1,p5,rb05,13,15,14,15,15,,,13.0,14.4,15.0,15.0,0.8944271909999159,0.3380617018914066
c1,p6,rb05,15,14,14,15,15,,,14.0,14.6,15.0,15.0,0.5477225575051662,0.20701966780270628
c1,p7,rb05,13,13,14,13,14,15.0,,13.0,13.666666666666666,13.5,15.0,0.816496580927726,0.3086066999241838
c1,p8,rb05,14,12,13,14,14,,,12.0,13.4,14.0,14.0,0.8944271909999159,0.3380617018914066
c1,p9,rb05,14,16,13,14,14,,,13.0,14.2,14.0,16.0,1.0954451150103324,0.41403933560541256
c2,p1,rb05,16,18,17,19,19,,,16.0,17.8,18.0,19.0,1.3038404810405297,0.4928053803045811
c2,p2,rb05,14,13,13,13,13,,,13.0,13.2,13.0,14.0,0.4472135954999579,0.1690308509457033
c2,p3,rb05,15,15,14,13,14,,,13.0,14.2,14.0,15.0,0.8366600265340756,0.31622776601683794
c2,p4,rb05,14,14,14,12,13,,,12.0,13.4,14.0,14.0,0.8944271909999159,0.3380617018914066
c2,p5,rb05,9,10,12,12,7,,,7.0,10.0,10.0,12.0,2.1213203435596424,0.8017837257372731
c2,p6,rb05,11,12,13,14,14,,,11.0,12.8,13.0,14.0,1.3038404810405297,0.4928053803045811
c2,p7,rb05,14,13,13,13,13,,,13.0,13.2,13.0,14.0,0.4472135954999579,0.1690308509457033
c2,p8,rb05,7,10,7,8,6,,,6.0,7.6,7.0,10.0,1.51657508881031,0.5732115042211108
c2,p9,rb05,13,12,13,12,12,,,12.0,12.4,12.0,13.0,0.5477225575051662,0.20701966780270628
c3,p1,rb05,12,12,13,15,15,,,12.0,13.4,13.0,15.0,1.51657508881031,0.5732115042211108
c3,p2,rb05,11,11,10,15,11,,,10.0,11.6,11.0,15.0,1.9493588689617927,0.7367883976130072
c3,p3,rb05,11,12,11,13,13,,,11.0,12.0,12.0,13.0,1.0,0.3779644730092272
c3,p4,rb05,14,12,13,12,13,,,12.0,12.8,13.0,14.0,0.8366600265340756,0.31622776601683794
c3,p5,rb05,14,14,14,14,13,,,13.0,13.8,14.0,14.0,0.4472135954999579,0.1690308509457033
c3,p6,rb05,13,13,13,11,11,,,11.0,12.2,13.0,13.0,1.0954451150103324,0.41403933560541256
c3,p7,rb05,13,14,13,13,12,,,12.0,13.0,13.0,14.0,0.7071067811865476,0.2672612419124244
c3,p8,rb05,12,13,13,14,11,,,11.0,12.6,13.0,14.0,1.140175425099138,0.4309458036856673
c3,p9,rb05,13,12,13,14,11,,,11.0,12.6,13.0,14.0,1.140175425099138,0.4309458036856673
c4,p1,rb05,13,14,18,20,19,,,13.0,16.8,18.0,20.0,3.1144823004794873,1.1771636613972951
c4,p2,rb05,12,12,12,12,13,,,12.0,12.2,12.0,13.0,0.4472135954999579,0.1690308509457033
c4,p3,rb05,14,12,13,13,15,,,12.0,13.4,13.0,15.0,1.1401754250991378,0.43094580368566726
c4,p4,rb05,15,15,14,12,12,,,12.0,13.6,14.0,15.0,1.51657508881031,0.5732115042211108
c4,p5,rb05,13,14,14,13,14,,,13.0,13.6,14.0,14.0,0.5477225575051662,0.20701966780270628
c4,p6,rb05,13,13,14,15,14,,,13.0,13.8,14.0,15.0,0.8366600265340756,0.31622776601683794
c4,p7,rb05,14,14,11,12,13,,,11.0,12.8,13.0,14.0,1.3038404810405297,0.4928053803045811
c4,p8,rb05,12,14,13,13,13,,,12.0,13.0,13.0,14.0,0.7071067811865476,0.2672612419124244
c4,p9,rb05,12,13,13,14,13,,,12.0,13.0,13.0,14.0,0.7071067811865476,0.2672612419124244
c5,p1,rb05,20,17,19,18,18,,,17.0,18.4,18.0,20.0,1.140175425099138,0.4309458036856673
c5,p2,rb05,11,13,13,13,12,,,11.0,12.4,13.0,13.0,0.8944271909999159,0.3380617018914066
c5,p3,rb05,12,13,13,14,14,,,12.0,13.2,13.0,14.0,0.8366600265340756,0.31622776601683794
c5,p4,rb05,13,12,13,13,13,,,12.0,12.8,13.0,13.0,0.4472135954999579,0.1690308509457033
c5,p5,rb05,13,15,14,12,14,,,12.0,13.6,14.0,15.0,1.1401754250991378,0.43094580368566726
c5,p6,rb05,12,13,14,13,12,,,12.0,12.8,13.0,14.0,0.8366600265340756,0.31622776601683794
c5,p7,rb05,12,13,13,14,12,,,12.0,12.8,13.0,14.0,0.8366600265340756,0.31622776601683794
c5,p8,rb05,13,13,11,12,12,,,11.0,12.2,12.0,13.0,0.8366600265340756,0.31622776601683794
c5,p9,rb05,14,14,14,14,13,,,13.0,13.8,14.0,14.0,0.4472135954999579,0.1690308509457033
c6,p1,rb05,18,21,21,20,19,,,18.0,19.8,20.0,21.0,1.3038404810405297,0.4928053803045811
c6,p2,rb05,13,13,13,14,14,,,13.0,13.4,13.0,14.0,0.5477225575051662,0.20701966780270628
c6,p3,rb05,15,14,13,13,14,,,13.0,13.8,14.0,15.0,0.8366600265340756,0.31622776601683794
c6,p4,rb05,15,15,13,14,14,,,13.0,14.2,14.0,15.0,0.8366600265340756,0.31622776601683794
c6,p5,rb05,15,15,14,15,14,,,14.0,14.6,15.0,15.0,0.5477225575051661,0.20701966780270625
